N1,Date1,Time1,Signal1,N2,Date2,Time2,Signal2
0,2023-10-20,16:53:55.037821,1.218711,0,2023-10-20,16:53:55.037821,-0.1069463
1,2023-10-20,16:53:55.037829,1.17644,1,2023-10-20,16:53:55.037829,-0.1026976
2,2023-10-20,16:53:55.037837,1.17644,2,2023-10-20,16:53:55.037837,-0.09420025
3,2023-10-20,16:53:55.037845,1.17644,3,2023-10-20,16:53:55.037845,-0.1026976
4,2023-10-20,16:53:55.037853,1.17644,4,2023-10-20,16:53:55.037853,-0.1026976
5,2023-10-20,16:53:55.037861,1.17644,5,2023-10-20,16:53:55.037861,-0.1069463
6,2023-10-20,16:53:55.037869,1.17644,6,2023-10-20,16:53:55.037869,-0.1069463
7,2023-10-20,16:53:55.037877,1.17644,7,2023-10-20,16:53:55.037877,-0.1026976
8,2023-10-20,16:53:55.037885,1.17644,8,2023-10-20,16:53:55.037885,-0.09420025
9,2023-10-20,16:53:55.037893,1.134169,9,2023-10-20,16:53:55.037893,-0.0857029
10,2023-10-20,16:53:55.037901,1.17644,10,2023-10-20,16:53:55.037901,-0.09844893
11,2023-10-20,16:53:55.037909,1.17644,11,2023-10-20,16:53:55.037909,-0.1069463
12,2023-10-20,16:53:55.037917,1.17644,12,2023-10-20,16:53:55.037917,-0.1069463
13,2023-10-20,16:53:55.037925,1.134169,13,2023-10-20,16:53:55.037925,-0.1026976
14,2023-10-20,16:53:55.037933,1.134169,14,2023-10-20,16:53:55.037933,-0.1069463
15,2023-10-20,16:53:55.037941,1.17644,15,2023-10-20,16:53:55.037941,-0.08995158
16,2023-10-20,16:53:55.037949,1.134169,16,2023-10-20,16:53:55.037949,-0.09420025
17,2023-10-20,16:53:55.037957,1.134169,17,2023-10-20,16:53:55.037957,-0.1026976
18,2023-10-20,16:53:55.037965,1.134169,18,2023-10-20,16:53:55.037965,-0.1026976
19,2023-10-20,16:53:55.037973,1.134169,19,2023-10-20,16:53:55.037973,-0.1026976
20,2023-10-20,16:53:55.037981,1.091898,20,2023-10-20,16:53:55.037981,-0.09844893
21,2023-10-20,16:53:55.037989,1.091898,21,2023-10-20,16:53:55.037989,-0.08995158
