waveform	Ch0		Gen	
t0	2023-10-20  16:53:55.037821		2023-10-20  16:53:55.037821	
delta t	8.000000E-6		8.000000E-6	

time[0]	Ch0	time[1]	Gen
2023-10-20  16:53:55.037821	1.218711E+0	2023-10-20  16:53:55.037821	-1.069463E-1
2023-10-20  16:53:55.037829	1.176440E+0	2023-10-20  16:53:55.037829	-1.026976E-1
2023-10-20  16:53:55.037837	1.176440E+0	2023-10-20  16:53:55.037837	-9.420025E-2
2023-10-20  16:53:55.037845	1.176440E+0	2023-10-20  16:53:55.037845	-1.026976E-1
2023-10-20  16:53:55.037853	1.176440E+0	2023-10-20  16:53:55.037853	-1.026976E-1
2023-10-20  16:53:55.037861	1.176440E+0	2023-10-20  16:53:55.037861	-1.069463E-1
2023-10-20  16:53:55.037869	1.176440E+0	2023-10-20  16:53:55.037869	-1.069463E-1
2023-10-20  16:53:55.037877	1.176440E+0	2023-10-20  16:53:55.037877	-1.026976E-1
2023-10-20  16:53:55.037885	1.176440E+0	2023-10-20  16:53:55.037885	-9.420025E-2
2023-10-20  16:53:55.037893	1.134169E+0	2023-10-20  16:53:55.037893	-8.570290E-2
2023-10-20  16:53:55.037901	1.176440E+0	2023-10-20  16:53:55.037901	-9.844893E-2
2023-10-20  16:53:55.037909	1.176440E+0	2023-10-20  16:53:55.037909	-1.069463E-1
2023-10-20  16:53:55.037917	1.176440E+0	2023-10-20  16:53:55.037917	-1.069463E-1
2023-10-20  16:53:55.037925	1.134169E+0	2023-10-20  16:53:55.037925	-1.026976E-1
2023-10-20  16:53:55.037933	1.134169E+0	2023-10-20  16:53:55.037933	-1.069463E-1
2023-10-20  16:53:55.037941	1.176440E+0	2023-10-20  16:53:55.037941	-8.995158E-2
2023-10-20  16:53:55.037949	1.134169E+0	2023-10-20  16:53:55.037949	-9.420025E-2
2023-10-20  16:53:55.037957	1.134169E+0	2023-10-20  16:53:55.037957	-1.026976E-1
2023-10-20  16:53:55.037965	1.134169E+0	2023-10-20  16:53:55.037965	-1.026976E-1
2023-10-20  16:53:55.037973	1.134169E+0	2023-10-20  16:53:55.037973	-1.026976E-1
2023-10-20  16:53:55.037981	1.091898E+0	2023-10-20  16:53:55.037981	-9.844893E-2
2023-10-20  16:53:55.037989	1.091898E+0	2023-10-20  16:53:55.037989	-8.995158E-2
2023-10-20  16:53:55.037997	1.091898E+0	2023-10-20  16:53:55.037997	-9.420025E-2
2023-10-20  16:53:55.038005	1.091898E+0	2023-10-20  16:53:55.038005	-9.420025E-2
2023-10-20  16:53:55.038013	1.091898E+0	2023-10-20  16:53:55.038013	-1.026976E-1
2023-10-20  16:53:55.038021	1.091898E+0	2023-10-20  16:53:55.038021	-8.570290E-2
2023-10-20  16:53:55.038029	1.091898E+0	2023-10-20  16:53:55.038029	-8.995158E-2
2023-10-20  16:53:55.038037	1.091898E+0	2023-10-20  16:53:55.038037	-9.844893E-2
2023-10-20  16:53:55.038045	1.091898E+0	2023-10-20  16:53:55.038045	-1.069463E-1
2023-10-20  16:53:55.038053	1.091898E+0	2023-10-20  16:53:55.038053	-1.111950E-1
2023-10-20  16:53:55.038061	1.091898E+0	2023-10-20  16:53:55.038061	-9.420025E-2
2023-10-20  16:53:55.038069	1.091898E+0	2023-10-20  16:53:55.038069	-8.570290E-2
2023-10-20  16:53:55.038077	1.091898E+0	2023-10-20  16:53:55.038077	-8.995158E-2
2023-10-20  16:53:55.038085	1.049627E+0	2023-10-20  16:53:55.038085	-8.995158E-2
2023-10-20  16:53:55.038093	1.091898E+0	2023-10-20  16:53:55.038093	-8.570290E-2
2023-10-20  16:53:55.038101	1.049627E+0	2023-10-20  16:53:55.038101	-9.420025E-2
2023-10-20  16:53:55.038109	1.007356E+0	2023-10-20  16:53:55.038109	-8.995158E-2
2023-10-20  16:53:55.038117	1.091898E+0	2023-10-20  16:53:55.038117	-9.844893E-2
2023-10-20  16:53:55.038125	1.049627E+0	2023-10-20  16:53:55.038125	-1.026976E-1
2023-10-20  16:53:55.038133	1.007356E+0	2023-10-20  16:53:55.038133	-8.995158E-2
2023-10-20  16:53:55.038141	1.007356E+0	2023-10-20  16:53:55.038141	-9.420025E-2
2023-10-20  16:53:55.038149	1.007356E+0	2023-10-20  16:53:55.038149	-7.720555E-2
2023-10-20  16:53:55.038157	1.007356E+0	2023-10-20  16:53:55.038157	-8.145423E-2
2023-10-20  16:53:55.038165	1.007356E+0	2023-10-20  16:53:55.038165	-8.570290E-2
2023-10-20  16:53:55.038173	1.007356E+0	2023-10-20  16:53:55.038173	-8.995158E-2
2023-10-20  16:53:55.038181	1.007356E+0	2023-10-20  16:53:55.038181	-8.145423E-2
2023-10-20  16:53:55.038189	1.007356E+0	2023-10-20  16:53:55.038189	-8.570290E-2
2023-10-20  16:53:55.038197	1.007356E+0	2023-10-20  16:53:55.038197	-8.570290E-2
2023-10-20  16:53:55.038205	1.007356E+0	2023-10-20  16:53:55.038205	-9.420025E-2
2023-10-20  16:53:55.038213	1.007356E+0	2023-10-20  16:53:55.038213	-8.145423E-2
2023-10-20  16:53:55.038221	1.007356E+0	2023-10-20  16:53:55.038221	-9.420025E-2
2023-10-20  16:53:55.038229	1.007356E+0	2023-10-20  16:53:55.038229	-8.570290E-2
2023-10-20  16:53:55.038237	9.650855E-1	2023-10-20  16:53:55.038237	-7.720555E-2
2023-10-20  16:53:55.038245	9.650855E-1	2023-10-20  16:53:55.038245	-8.570290E-2
2023-10-20  16:53:55.038253	9.650855E-1	2023-10-20  16:53:55.038253	-8.570290E-2
2023-10-20  16:53:55.038261	9.650855E-1	2023-10-20  16:53:55.038261	-8.995158E-2
2023-10-20  16:53:55.038269	9.650855E-1	2023-10-20  16:53:55.038269	-7.295688E-2
2023-10-20  16:53:55.038277	9.650855E-1	2023-10-20  16:53:55.038277	-8.570290E-2
2023-10-20  16:53:55.038285	9.650855E-1	2023-10-20  16:53:55.038285	-7.720555E-2
2023-10-20  16:53:55.038293	9.650855E-1	2023-10-20  16:53:55.038293	-8.995158E-2
2023-10-20  16:53:55.038301	9.650855E-1	2023-10-20  16:53:55.038301	-8.995158E-2
2023-10-20  16:53:55.038309	9.650855E-1	2023-10-20  16:53:55.038309	-8.570290E-2
2023-10-20  16:53:55.038317	9.650855E-1	2023-10-20  16:53:55.038317	-8.570290E-2
2023-10-20  16:53:55.038325	9.228145E-1	2023-10-20  16:53:55.038325	-7.295688E-2
2023-10-20  16:53:55.038333	9.228145E-1	2023-10-20  16:53:55.038333	-8.570290E-2
2023-10-20  16:53:55.038341	9.650855E-1	2023-10-20  16:53:55.038341	-7.295688E-2
2023-10-20  16:53:55.038349	9.228145E-1	2023-10-20  16:53:55.038349	-7.720555E-2
2023-10-20  16:53:55.038357	9.228145E-1	2023-10-20  16:53:55.038357	-8.995158E-2
2023-10-20  16:53:55.038365	9.228145E-1	2023-10-20  16:53:55.038365	-7.295688E-2
2023-10-20  16:53:55.038373	9.228145E-1	2023-10-20  16:53:55.038373	-7.295688E-2
2023-10-20  16:53:55.038381	9.228145E-1	2023-10-20  16:53:55.038381	-6.870820E-2
2023-10-20  16:53:55.038389	9.228145E-1	2023-10-20  16:53:55.038389	-7.295688E-2
2023-10-20  16:53:55.038397	9.228145E-1	2023-10-20  16:53:55.038397	-8.995158E-2
2023-10-20  16:53:55.038405	9.228145E-1	2023-10-20  16:53:55.038405	-7.720555E-2
2023-10-20  16:53:55.038413	9.228145E-1	2023-10-20  16:53:55.038413	-8.995158E-2
2023-10-20  16:53:55.038421	9.228145E-1	2023-10-20  16:53:55.038421	-8.145423E-2
2023-10-20  16:53:55.038429	9.228145E-1	2023-10-20  16:53:55.038429	-7.295688E-2
2023-10-20  16:53:55.038437	9.228145E-1	2023-10-20  16:53:55.038437	-8.145423E-2
2023-10-20  16:53:55.038445	8.805435E-1	2023-10-20  16:53:55.038445	-8.570290E-2
2023-10-20  16:53:55.038453	8.805435E-1	2023-10-20  16:53:55.038453	-7.295688E-2
2023-10-20  16:53:55.038461	8.805435E-1	2023-10-20  16:53:55.038461	-7.295688E-2
2023-10-20  16:53:55.038469	8.382726E-1	2023-10-20  16:53:55.038469	-6.870820E-2
2023-10-20  16:53:55.038477	8.805435E-1	2023-10-20  16:53:55.038477	-7.295688E-2
2023-10-20  16:53:55.038485	8.805435E-1	2023-10-20  16:53:55.038485	-7.295688E-2
2023-10-20  16:53:55.038493	8.382726E-1	2023-10-20  16:53:55.038493	-7.295688E-2
2023-10-20  16:53:55.038501	8.805435E-1	2023-10-20  16:53:55.038501	-6.445953E-2
2023-10-20  16:53:55.038509	8.805435E-1	2023-10-20  16:53:55.038509	-6.870820E-2
