N1,Date1,Time1,Signal1,N2,Date2,Time2,Signal2
0,2023-10-20,17:04:56.613935,-1.02165,0,2023-10-20,17:04:56.613935,0.01201663
1,2023-10-20,17:04:56.613943,-1.02165,1,2023-10-20,17:04:56.613943,0.01626531
2,2023-10-20,17:04:56.613951,-1.02165,2,2023-10-20,17:04:56.613951,0.007767956
3,2023-10-20,17:04:56.613959,-1.02165,3,2023-10-20,17:04:56.613959,0.02051398
4,2023-10-20,17:04:56.613967,-1.02165,4,2023-10-20,17:04:56.613967,0.01201663
5,2023-10-20,17:04:56.613975,-1.02165,5,2023-10-20,17:04:56.613975,-0.0007293946
6,2023-10-20,17:04:56.613983,-1.02165,6,2023-10-20,17:04:56.613983,0.02476266
7,2023-10-20,17:04:56.613991,-1.02165,7,2023-10-20,17:04:56.613991,0.007767956
8,2023-10-20,17:04:56.613999,-1.02165,8,2023-10-20,17:04:56.613999,-0.00497807
9,2023-10-20,17:04:56.614007,-1.063921,9,2023-10-20,17:04:56.614007,0.007767956
10,2023-10-20,17:04:56.614015,-1.063921,10,2023-10-20,17:04:56.614015,-0.00497807
11,2023-10-20,17:04:56.614023,-1.106192,11,2023-10-20,17:04:56.614023,-0.0007293946
12,2023-10-20,17:04:56.614031,-1.106192,12,2023-10-20,17:04:56.614031,0.02476266
13,2023-10-20,17:04:56.614039,-1.063921,13,2023-10-20,17:04:56.614039,0.003519281
14,2023-10-20,17:04:56.614047,-1.063921,14,2023-10-20,17:04:56.614047,0.007767956
15,2023-10-20,17:04:56.614055,-1.106192,15,2023-10-20,17:04:56.614055,0.007767956
16,2023-10-20,17:04:56.614063,-1.106192,16,2023-10-20,17:04:56.614063,-0.0007293946
17,2023-10-20,17:04:56.614071,-1.106192,17,2023-10-20,17:04:56.614071,-0.0007293946
18,2023-10-20,17:04:56.614079,-1.148463,18,2023-10-20,17:04:56.614079,0.01201663
19,2023-10-20,17:04:56.614087,-1.148463,19,2023-10-20,17:04:56.614087,0.007767956
20,2023-10-20,17:04:56.614095,-1.106192,20,2023-10-20,17:04:56.614095,0.01626531
21,2023-10-20,17:04:56.614103,-1.148463,21,2023-10-20,17:04:56.614103,0.007767956
22,2023-10-20,17:04:56.614111,-1.148463,22,2023-10-20,17:04:56.614111,-0.00497807
23,2023-10-20,17:04:56.614119,-1.148463,23,2023-10-20,17:04:56.614119,0.003519281
24,2023-10-20,17:04:56.614127,-1.148463,24,2023-10-20,17:04:56.614127,0.007767956
25,2023-10-20,17:04:56.614135,-1.148463,25,2023-10-20,17:04:56.614135,-0.0007293946
26,2023-10-20,17:04:56.614143,-1.190734,26,2023-10-20,17:04:56.614143,0.01201663
27,2023-10-20,17:04:56.614151,-1.190734,27,2023-10-20,17:04:56.614151,0.01626531
28,2023-10-20,17:04:56.614159,-1.190734,28,2023-10-20,17:04:56.614159,0.007767956
29,2023-10-20,17:04:56.614167,-1.190734,29,2023-10-20,17:04:56.614167,0.003519281
30,2023-10-20,17:04:56.614175,-1.190734,30,2023-10-20,17:04:56.614175,0.01626531
31,2023-10-20,17:04:56.614183,-1.190734,31,2023-10-20,17:04:56.614183,0.01201663
32,2023-10-20,17:04:56.614191,-1.190734,32,2023-10-20,17:04:56.614191,0.007767956
33,2023-10-20,17:04:56.614199,-1.190734,33,2023-10-20,17:04:56.614199,0.01201663
34,2023-10-20,17:04:56.614207,-1.190734,34,2023-10-20,17:04:56.614207,-0.0007293946
35,2023-10-20,17:04:56.614215,-1.190734,35,2023-10-20,17:04:56.614215,0.01201663
36,2023-10-20,17:04:56.614223,-1.233005,36,2023-10-20,17:04:56.614223,0.007767956
37,2023-10-20,17:04:56.614231,-1.233005,37,2023-10-20,17:04:56.614231,0.01201663
38,2023-10-20,17:04:56.614239,-1.233005,38,2023-10-20,17:04:56.614239,0.007767956
39,2023-10-20,17:04:56.614247,-1.275276,39,2023-10-20,17:04:56.614247,-0.00497807
40,2023-10-20,17:04:56.614255,-1.275276,40,2023-10-20,17:04:56.614255,-0.0007293946
41,2023-10-20,17:04:56.614263,-1.275276,41,2023-10-20,17:04:56.614263,0.01201663
42,2023-10-20,17:04:56.614271,-1.275276,42,2023-10-20,17:04:56.614271,0.02476266
43,2023-10-20,17:04:56.614279,-1.275276,43,2023-10-20,17:04:56.614279,0.007767956
44,2023-10-20,17:04:56.614287,-1.275276,44,2023-10-20,17:04:56.614287,0.007767956
45,2023-10-20,17:04:56.614295,-1.275276,45,2023-10-20,17:04:56.614295,0.003519281
46,2023-10-20,17:04:56.614303,-1.275276,46,2023-10-20,17:04:56.614303,-0.0007293946
