waveform	Ch0		Gen	
t0	2023-10-20  17:12:37.562372		2023-10-20  17:12:37.562372	
delta t	8.000000E-6		8.000000E-6	

time[0]	Ch0	time[1]	Gen
2023-10-20  17:12:37.562372	-1.359818E+0	2023-10-20  17:12:37.562372	-9.226745E-3
2023-10-20  17:12:37.562380	-1.359818E+0	2023-10-20  17:12:37.562380	-7.293946E-4
2023-10-20  17:12:37.562388	-1.359818E+0	2023-10-20  17:12:37.562388	3.519281E-3
2023-10-20  17:12:37.562396	-1.359818E+0	2023-10-20  17:12:37.562396	-7.293946E-4
2023-10-20  17:12:37.562404	-1.359818E+0	2023-10-20  17:12:37.562404	1.626531E-2
2023-10-20  17:12:37.562412	-1.359818E+0	2023-10-20  17:12:37.562412	7.767956E-3
2023-10-20  17:12:37.562420	-1.359818E+0	2023-10-20  17:12:37.562420	3.519281E-3
2023-10-20  17:12:37.562428	-1.359818E+0	2023-10-20  17:12:37.562428	1.201663E-2
2023-10-20  17:12:37.562436	-1.359818E+0	2023-10-20  17:12:37.562436	7.767956E-3
2023-10-20  17:12:37.562444	-1.359818E+0	2023-10-20  17:12:37.562444	2.901133E-2
2023-10-20  17:12:37.562452	-1.317547E+0	2023-10-20  17:12:37.562452	-4.978070E-3
2023-10-20  17:12:37.562460	-1.317547E+0	2023-10-20  17:12:37.562460	-7.293946E-4
2023-10-20  17:12:37.562468	-1.317547E+0	2023-10-20  17:12:37.562468	1.626531E-2
2023-10-20  17:12:37.562476	-1.317547E+0	2023-10-20  17:12:37.562476	1.201663E-2
2023-10-20  17:12:37.562484	-1.275276E+0	2023-10-20  17:12:37.562484	2.051398E-2
2023-10-20  17:12:37.562492	-1.275276E+0	2023-10-20  17:12:37.562492	-7.293946E-4
2023-10-20  17:12:37.562500	-1.275276E+0	2023-10-20  17:12:37.562500	2.051398E-2
2023-10-20  17:12:37.562508	-1.275276E+0	2023-10-20  17:12:37.562508	1.626531E-2
2023-10-20  17:12:37.562516	-1.275276E+0	2023-10-20  17:12:37.562516	7.767956E-3
2023-10-20  17:12:37.562524	-1.275276E+0	2023-10-20  17:12:37.562524	7.767956E-3
2023-10-20  17:12:37.562532	-1.275276E+0	2023-10-20  17:12:37.562532	-7.293946E-4
2023-10-20  17:12:37.562540	-1.233005E+0	2023-10-20  17:12:37.562540	7.767956E-3
2023-10-20  17:12:37.562548	-1.233005E+0	2023-10-20  17:12:37.562548	7.767956E-3
2023-10-20  17:12:37.562556	-1.233005E+0	2023-10-20  17:12:37.562556	-7.293946E-4
2023-10-20  17:12:37.562564	-1.233005E+0	2023-10-20  17:12:37.562564	2.051398E-2
2023-10-20  17:12:37.562572	-1.233005E+0	2023-10-20  17:12:37.562572	-7.293946E-4
2023-10-20  17:12:37.562580	-1.190734E+0	2023-10-20  17:12:37.562580	3.519281E-3
2023-10-20  17:12:37.562588	-1.190734E+0	2023-10-20  17:12:37.562588	-7.293946E-4
2023-10-20  17:12:37.562596	-1.190734E+0	2023-10-20  17:12:37.562596	-7.293946E-4
2023-10-20  17:12:37.562604	-1.190734E+0	2023-10-20  17:12:37.562604	1.201663E-2
2023-10-20  17:12:37.562612	-1.190734E+0	2023-10-20  17:12:37.562612	-4.978070E-3
2023-10-20  17:12:37.562620	-1.190734E+0	2023-10-20  17:12:37.562620	-7.293946E-4
2023-10-20  17:12:37.562628	-1.190734E+0	2023-10-20  17:12:37.562628	3.519281E-3
2023-10-20  17:12:37.562636	-1.190734E+0	2023-10-20  17:12:37.562636	7.767956E-3
2023-10-20  17:12:37.562644	-1.148463E+0	2023-10-20  17:12:37.562644	2.051398E-2
2023-10-20  17:12:37.562652	-1.190734E+0	2023-10-20  17:12:37.562652	-7.293946E-4
2023-10-20  17:12:37.562660	-1.190734E+0	2023-10-20  17:12:37.562660	1.201663E-2
2023-10-20  17:12:37.562668	-1.148463E+0	2023-10-20  17:12:37.562668	1.626531E-2
2023-10-20  17:12:37.562676	-1.148463E+0	2023-10-20  17:12:37.562676	2.051398E-2
2023-10-20  17:12:37.562684	-1.106192E+0	2023-10-20  17:12:37.562684	-7.293946E-4
2023-10-20  17:12:37.562692	-1.106192E+0	2023-10-20  17:12:37.562692	1.201663E-2
2023-10-20  17:12:37.562700	-1.148463E+0	2023-10-20  17:12:37.562700	-7.293946E-4
2023-10-20  17:12:37.562708	-1.106192E+0	2023-10-20  17:12:37.562708	3.519281E-3
2023-10-20  17:12:37.562716	-1.106192E+0	2023-10-20  17:12:37.562716	1.201663E-2
2023-10-20  17:12:37.562724	-1.106192E+0	2023-10-20  17:12:37.562724	-1.347542E-2
2023-10-20  17:12:37.562732	-1.106192E+0	2023-10-20  17:12:37.562732	-7.293946E-4
2023-10-20  17:12:37.562740	-1.106192E+0	2023-10-20  17:12:37.562740	7.767956E-3
2023-10-20  17:12:37.562748	-1.106192E+0	2023-10-20  17:12:37.562748	1.201663E-2
2023-10-20  17:12:37.562756	-1.063921E+0	2023-10-20  17:12:37.562756	3.519281E-3
2023-10-20  17:12:37.562764	-1.063921E+0	2023-10-20  17:12:37.562764	3.519281E-3
2023-10-20  17:12:37.562772	-1.063921E+0	2023-10-20  17:12:37.562772	1.201663E-2
2023-10-20  17:12:37.562780	-1.063921E+0	2023-10-20  17:12:37.562780	7.767956E-3
2023-10-20  17:12:37.562788	-1.063921E+0	2023-10-20  17:12:37.562788	7.767956E-3
2023-10-20  17:12:37.562796	-1.021650E+0	2023-10-20  17:12:37.562796	3.519281E-3
2023-10-20  17:12:37.562804	-1.063921E+0	2023-10-20  17:12:37.562804	7.767956E-3
2023-10-20  17:12:37.562812	-1.021650E+0	2023-10-20  17:12:37.562812	1.626531E-2
2023-10-20  17:12:37.562820	-1.021650E+0	2023-10-20  17:12:37.562820	7.767956E-3
2023-10-20  17:12:37.562828	-1.021650E+0	2023-10-20  17:12:37.562828	3.519281E-3
2023-10-20  17:12:37.562836	-1.021650E+0	2023-10-20  17:12:37.562836	7.767956E-3
2023-10-20  17:12:37.562844	-1.021650E+0	2023-10-20  17:12:37.562844	1.201663E-2
2023-10-20  17:12:37.562852	-1.021650E+0	2023-10-20  17:12:37.562852	1.626531E-2
2023-10-20  17:12:37.562860	-1.021650E+0	2023-10-20  17:12:37.562860	-7.293946E-4
2023-10-20  17:12:37.562868	-9.793791E-1	2023-10-20  17:12:37.562868	-4.978070E-3
2023-10-20  17:12:37.562876	-1.021650E+0	2023-10-20  17:12:37.562876	1.201663E-2
2023-10-20  17:12:37.562884	-9.793791E-1	2023-10-20  17:12:37.562884	-7.293946E-4
2023-10-20  17:12:37.562892	-9.793791E-1	2023-10-20  17:12:37.562892	-7.293946E-4
2023-10-20  17:12:37.562900	-9.793791E-1	2023-10-20  17:12:37.562900	-7.293946E-4
2023-10-20  17:12:37.562908	-9.793791E-1	2023-10-20  17:12:37.562908	2.051398E-2
2023-10-20  17:12:37.562916	-9.793791E-1	2023-10-20  17:12:37.562916	1.626531E-2
2023-10-20  17:12:37.562924	-9.371082E-1	2023-10-20  17:12:37.562924	7.767956E-3
