N1,Date1,Time1,Signal1,N2,Date2,Time2,Signal2
0,2023-10-20,17:21:56.883828,-0.6834823,0,2023-10-20,17:21:56.883828,0.08424411
1,2023-10-20,17:21:56.883836,-0.6834823,1,2023-10-20,17:21:56.883836,0.1012388
2,2023-10-20,17:21:56.883844,-0.6834823,2,2023-10-20,17:21:56.883844,0.09699014
3,2023-10-20,17:21:56.883852,-0.6412114,3,2023-10-20,17:21:56.883852,0.09274146
4,2023-10-20,17:21:56.883860,-0.6834823,4,2023-10-20,17:21:56.883860,0.08424411
5,2023-10-20,17:21:56.883868,-0.6834823,5,2023-10-20,17:21:56.883868,0.08424411
6,2023-10-20,17:21:56.883876,-0.6834823,6,2023-10-20,17:21:56.883876,0.07574676
7,2023-10-20,17:21:56.883884,-0.6834823,7,2023-10-20,17:21:56.883884,0.08424411
8,2023-10-20,17:21:56.883892,-0.6412114,8,2023-10-20,17:21:56.883892,0.07574676
9,2023-10-20,17:21:56.883900,-0.6412114,9,2023-10-20,17:21:56.883900,0.07999544
10,2023-10-20,17:21:56.883908,-0.6834823,10,2023-10-20,17:21:56.883908,0.07149809
11,2023-10-20,17:21:56.883916,-0.6412114,11,2023-10-20,17:21:56.883916,0.06724941
12,2023-10-20,17:21:56.883924,-0.6834823,12,2023-10-20,17:21:56.883924,0.07574676
13,2023-10-20,17:21:56.883932,-0.6412114,13,2023-10-20,17:21:56.883932,0.07149809
14,2023-10-20,17:21:56.883940,-0.6834823,14,2023-10-20,17:21:56.883940,0.07574676
15,2023-10-20,17:21:56.883948,-0.6412114,15,2023-10-20,17:21:56.883948,0.06724941
16,2023-10-20,17:21:56.883956,-0.6412114,16,2023-10-20,17:21:56.883956,0.06724941
17,2023-10-20,17:21:56.883964,-0.6412114,17,2023-10-20,17:21:56.883964,0.06724941
18,2023-10-20,17:21:56.883972,-0.6412114,18,2023-10-20,17:21:56.883972,0.08424411
19,2023-10-20,17:21:56.883980,-0.6412114,19,2023-10-20,17:21:56.883980,0.06724941
20,2023-10-20,17:21:56.883988,-0.6834823,20,2023-10-20,17:21:56.883988,0.07574676
21,2023-10-20,17:21:56.883996,-0.6412114,21,2023-10-20,17:21:56.883996,0.05025471
22,2023-10-20,17:21:56.884004,-0.6834823,22,2023-10-20,17:21:56.884004,0.05025471
23,2023-10-20,17:21:56.884012,-0.6412114,23,2023-10-20,17:21:56.884012,0.07999544
24,2023-10-20,17:21:56.884020,-0.6834823,24,2023-10-20,17:21:56.884020,0.06300074
25,2023-10-20,17:21:56.884028,-0.6412114,25,2023-10-20,17:21:56.884028,0.06300074
26,2023-10-20,17:21:56.884036,-0.6412114,26,2023-10-20,17:21:56.884036,0.07574676
27,2023-10-20,17:21:56.884044,-0.6412114,27,2023-10-20,17:21:56.884044,0.05450339
28,2023-10-20,17:21:56.884052,-0.6412114,28,2023-10-20,17:21:56.884052,0.05875206
29,2023-10-20,17:21:56.884060,-0.6834823,29,2023-10-20,17:21:56.884060,0.06300074
30,2023-10-20,17:21:56.884068,-0.6412114,30,2023-10-20,17:21:56.884068,0.07149809
31,2023-10-20,17:21:56.884076,-0.6412114,31,2023-10-20,17:21:56.884076,0.06300074
32,2023-10-20,17:21:56.884084,-0.6412114,32,2023-10-20,17:21:56.884084,0.05450339
33,2023-10-20,17:21:56.884092,-0.6412114,33,2023-10-20,17:21:56.884092,0.05875206
34,2023-10-20,17:21:56.884100,-0.6412114,34,2023-10-20,17:21:56.884100,0.06300074
35,2023-10-20,17:21:56.884108,-0.6834823,35,2023-10-20,17:21:56.884108,0.06724941
36,2023-10-20,17:21:56.884116,-0.6412114,36,2023-10-20,17:21:56.884116,0.05450339
37,2023-10-20,17:21:56.884124,-0.6412114,37,2023-10-20,17:21:56.884124,0.05875206
38,2023-10-20,17:21:56.884132,-0.6412114,38,2023-10-20,17:21:56.884132,0.05025471
39,2023-10-20,17:21:56.884140,-0.6412114,39,2023-10-20,17:21:56.884140,0.06300074
40,2023-10-20,17:21:56.884148,-0.6412114,40,2023-10-20,17:21:56.884148,0.06724941
41,2023-10-20,17:21:56.884156,-0.5989404,41,2023-10-20,17:21:56.884156,0.05025471
42,2023-10-20,17:21:56.884164,-0.5989404,42,2023-10-20,17:21:56.884164,0.06300074
43,2023-10-20,17:21:56.884172,-0.5989404,43,2023-10-20,17:21:56.884172,0.04175736
44,2023-10-20,17:21:56.884180,-0.5989404,44,2023-10-20,17:21:56.884180,0.04600604
45,2023-10-20,17:21:56.884188,-0.6412114,45,2023-10-20,17:21:56.884188,0.06724941
46,2023-10-20,17:21:56.884196,-0.6412114,46,2023-10-20,17:21:56.884196,0.05450339
47,2023-10-20,17:21:56.884204,-0.6412114,47,2023-10-20,17:21:56.884204,0.07574676
48,2023-10-20,17:21:56.884212,-0.6412114,48,2023-10-20,17:21:56.884212,0.05450339
