waveform	Ch0		Gen	
t0	2023-10-20  17:21:56.883828		2023-10-20  17:21:56.883828	
delta t	8.000000E-6		8.000000E-6	

time[0]	Ch0	time[1]	Gen
2023-10-20  17:21:56.883828	-6.834823E-1	2023-10-20  17:21:56.883828	8.424411E-2
2023-10-20  17:21:56.883836	-6.834823E-1	2023-10-20  17:21:56.883836	1.012388E-1
2023-10-20  17:21:56.883844	-6.834823E-1	2023-10-20  17:21:56.883844	9.699014E-2
2023-10-20  17:21:56.883852	-6.412114E-1	2023-10-20  17:21:56.883852	9.274146E-2
2023-10-20  17:21:56.883860	-6.834823E-1	2023-10-20  17:21:56.883860	8.424411E-2
2023-10-20  17:21:56.883868	-6.834823E-1	2023-10-20  17:21:56.883868	8.424411E-2
2023-10-20  17:21:56.883876	-6.834823E-1	2023-10-20  17:21:56.883876	7.574676E-2
2023-10-20  17:21:56.883884	-6.834823E-1	2023-10-20  17:21:56.883884	8.424411E-2
2023-10-20  17:21:56.883892	-6.412114E-1	2023-10-20  17:21:56.883892	7.574676E-2
2023-10-20  17:21:56.883900	-6.412114E-1	2023-10-20  17:21:56.883900	7.999544E-2
2023-10-20  17:21:56.883908	-6.834823E-1	2023-10-20  17:21:56.883908	7.149809E-2
2023-10-20  17:21:56.883916	-6.412114E-1	2023-10-20  17:21:56.883916	6.724941E-2
2023-10-20  17:21:56.883924	-6.834823E-1	2023-10-20  17:21:56.883924	7.574676E-2
2023-10-20  17:21:56.883932	-6.412114E-1	2023-10-20  17:21:56.883932	7.149809E-2
2023-10-20  17:21:56.883940	-6.834823E-1	2023-10-20  17:21:56.883940	7.574676E-2
2023-10-20  17:21:56.883948	-6.412114E-1	2023-10-20  17:21:56.883948	6.724941E-2
2023-10-20  17:21:56.883956	-6.412114E-1	2023-10-20  17:21:56.883956	6.724941E-2
2023-10-20  17:21:56.883964	-6.412114E-1	2023-10-20  17:21:56.883964	6.724941E-2
2023-10-20  17:21:56.883972	-6.412114E-1	2023-10-20  17:21:56.883972	8.424411E-2
2023-10-20  17:21:56.883980	-6.412114E-1	2023-10-20  17:21:56.883980	6.724941E-2
2023-10-20  17:21:56.883988	-6.834823E-1	2023-10-20  17:21:56.883988	7.574676E-2
2023-10-20  17:21:56.883996	-6.412114E-1	2023-10-20  17:21:56.883996	5.025471E-2
2023-10-20  17:21:56.884004	-6.834823E-1	2023-10-20  17:21:56.884004	5.025471E-2
2023-10-20  17:21:56.884012	-6.412114E-1	2023-10-20  17:21:56.884012	7.999544E-2
2023-10-20  17:21:56.884020	-6.834823E-1	2023-10-20  17:21:56.884020	6.300074E-2
2023-10-20  17:21:56.884028	-6.412114E-1	2023-10-20  17:21:56.884028	6.300074E-2
2023-10-20  17:21:56.884036	-6.412114E-1	2023-10-20  17:21:56.884036	7.574676E-2
2023-10-20  17:21:56.884044	-6.412114E-1	2023-10-20  17:21:56.884044	5.450339E-2
2023-10-20  17:21:56.884052	-6.412114E-1	2023-10-20  17:21:56.884052	5.875206E-2
2023-10-20  17:21:56.884060	-6.834823E-1	2023-10-20  17:21:56.884060	6.300074E-2
2023-10-20  17:21:56.884068	-6.412114E-1	2023-10-20  17:21:56.884068	7.149809E-2
2023-10-20  17:21:56.884076	-6.412114E-1	2023-10-20  17:21:56.884076	6.300074E-2
2023-10-20  17:21:56.884084	-6.412114E-1	2023-10-20  17:21:56.884084	5.450339E-2
2023-10-20  17:21:56.884092	-6.412114E-1	2023-10-20  17:21:56.884092	5.875206E-2
2023-10-20  17:21:56.884100	-6.412114E-1	2023-10-20  17:21:56.884100	6.300074E-2
2023-10-20  17:21:56.884108	-6.834823E-1	2023-10-20  17:21:56.884108	6.724941E-2
2023-10-20  17:21:56.884116	-6.412114E-1	2023-10-20  17:21:56.884116	5.450339E-2
2023-10-20  17:21:56.884124	-6.412114E-1	2023-10-20  17:21:56.884124	5.875206E-2
2023-10-20  17:21:56.884132	-6.412114E-1	2023-10-20  17:21:56.884132	5.025471E-2
2023-10-20  17:21:56.884140	-6.412114E-1	2023-10-20  17:21:56.884140	6.300074E-2
2023-10-20  17:21:56.884148	-6.412114E-1	2023-10-20  17:21:56.884148	6.724941E-2
2023-10-20  17:21:56.884156	-5.989404E-1	2023-10-20  17:21:56.884156	5.025471E-2
2023-10-20  17:21:56.884164	-5.989404E-1	2023-10-20  17:21:56.884164	6.300074E-2
2023-10-20  17:21:56.884172	-5.989404E-1	2023-10-20  17:21:56.884172	4.175736E-2
2023-10-20  17:21:56.884180	-5.989404E-1	2023-10-20  17:21:56.884180	4.600604E-2
2023-10-20  17:21:56.884188	-6.412114E-1	2023-10-20  17:21:56.884188	6.724941E-2
2023-10-20  17:21:56.884196	-6.412114E-1	2023-10-20  17:21:56.884196	5.450339E-2
2023-10-20  17:21:56.884204	-6.412114E-1	2023-10-20  17:21:56.884204	7.574676E-2
2023-10-20  17:21:56.884212	-6.412114E-1	2023-10-20  17:21:56.884212	5.450339E-2
2023-10-20  17:21:56.884220	-6.412114E-1	2023-10-20  17:21:56.884220	5.450339E-2
2023-10-20  17:21:56.884228	-5.989404E-1	2023-10-20  17:21:56.884228	5.450339E-2
2023-10-20  17:21:56.884236	-5.989404E-1	2023-10-20  17:21:56.884236	3.750868E-2
2023-10-20  17:21:56.884244	-6.412114E-1	2023-10-20  17:21:56.884244	5.025471E-2
2023-10-20  17:21:56.884252	-6.412114E-1	2023-10-20  17:21:56.884252	4.600604E-2
2023-10-20  17:21:56.884260	-5.989404E-1	2023-10-20  17:21:56.884260	5.025471E-2
2023-10-20  17:21:56.884268	-6.412114E-1	2023-10-20  17:21:56.884268	2.901133E-2
2023-10-20  17:21:56.884276	-6.412114E-1	2023-10-20  17:21:56.884276	4.600604E-2
2023-10-20  17:21:56.884284	-5.989404E-1	2023-10-20  17:21:56.884284	5.025471E-2
2023-10-20  17:21:56.884292	-5.989404E-1	2023-10-20  17:21:56.884292	4.175736E-2
2023-10-20  17:21:56.884300	-6.412114E-1	2023-10-20  17:21:56.884300	3.750868E-2
2023-10-20  17:21:56.884308	-6.412114E-1	2023-10-20  17:21:56.884308	5.025471E-2
2023-10-20  17:21:56.884316	-5.989404E-1	2023-10-20  17:21:56.884316	2.901133E-2
2023-10-20  17:21:56.884324	-5.989404E-1	2023-10-20  17:21:56.884324	5.025471E-2
2023-10-20  17:21:56.884332	-5.989404E-1	2023-10-20  17:21:56.884332	3.750868E-2
2023-10-20  17:21:56.884340	-5.989404E-1	2023-10-20  17:21:56.884340	5.025471E-2
2023-10-20  17:21:56.884348	-5.989404E-1	2023-10-20  17:21:56.884348	4.600604E-2
2023-10-20  17:21:56.884356	-5.989404E-1	2023-10-20  17:21:56.884356	4.175736E-2
2023-10-20  17:21:56.884364	-6.412114E-1	2023-10-20  17:21:56.884364	4.175736E-2
2023-10-20  17:21:56.884372	-5.989404E-1	2023-10-20  17:21:56.884372	4.600604E-2
2023-10-20  17:21:56.884380	-6.412114E-1	2023-10-20  17:21:56.884380	2.476266E-2
